medicine_id,medicine_name,strength,use_case,alternative,stock,dosage,manufacturer
1026,Ibuprofen,50 mg,pain relief,Lamotrigine,77,once weekly,Glenmark
1027,Ibuprofen,75 mg,fever,Loratadine,992,once every 8 hours,Lupin
1028,Ibuprofen,100 mg,inflammation,Olanzapine,153,once daily,Sun Pharma
1029,Ibuprofen,150 mg,diabetes,Gabapentin,113,twice daily,Intas Pharma
1030,Ibuprofen,200 mg,hypertension,Loratadine,665,twice daily,Torrent Pharma
1031,Ibuprofen,250 mg,nausea and vomiting,Formoterol,637,once every 8 hours,Cipla
1032,Ibuprofen,300 mg,nausea and vomiting,Cetirizine,849,once weekly,Lupin
1033,Ibuprofen,400 mg,hypertension,Cetirizine,101,twice daily,Cipla
1034,Ibuprofen,500 mg,nausea and vomiting,Gabapentin,875,once daily,Dr. Reddy's
1035,Ibuprofen,600 mg,bacterial infection,Formoterol,554,once every 8 hours,Zydus Lifesciences
1036,Ibuprofen,750 mg,acid reflux,Pregabalin,272,once weekly,Lupin
1037,Ibuprofen,1 g,asthma,Valproate,511,twice daily,Zydus Lifesciences
1038,Ibuprofen,2 g,pain relief,Morphine,250,twice daily,Sun Pharma
1039,Ibuprofen,125 mg/5 ml,asthma,Furosemide,692,twice daily,Alkem Labs
1040,Ibuprofen,250 mg/5 ml,asthma,Pioglitazone,697,once every 8 hours,Torrent Pharma
1041,Ibuprofen,500 mg/5 ml,pain relief,Fluoxetine,114,once weekly,Alkem Labs
1042,Amoxicillin,5 mg,diabetes,Salbutamol,725,three times daily,Torrent Pharma
1043,Amoxicillin,10 mg,diarrhea,Morphine,344,once daily,Torrent Pharma
1044,Amoxicillin,20 mg,inflammation,Gliclazide,406,once every 8 hours,Intas Pharma
1045,Amoxicillin,25 mg,nausea and vomiting,Glimepiride,981,once daily,Alkem Labs
1046,Amoxicillin,40 mg,nausea and vomiting,Gliclazide,950,once daily,Zydus Lifesciences
1047,Amoxicillin,50 mg,blood thinning,Azithromycin,639,twice daily,Zydus Lifesciences
1048,Amoxicillin,75 mg,fever,Cetirizine,986,twice daily,Intas Pharma
1049,Amoxicillin,100 mg,depression,Furosemide,814,once every 8 hours,Dr. Reddy's
1050,Amoxicillin,150 mg,allergy,Levetiracetam,372,once weekly,Zydus Lifesciences
1051,Amoxicillin,200 mg,pain relief,Ondansetron,989,once daily,Intas Pharma
1052,Amoxicillin,250 mg,acid reflux,Budesonide,500,once daily,Aurobindo Pharma
1053,Amoxicillin,300 mg,bacterial infection,Pantoprazole,686,twice daily,Torrent Pharma
1054,Amoxicillin,400 mg,fever,Fluoxetine,118,once daily,Cipla
1055,Amoxicillin,500 mg,inflammation,Naproxen,671,twice daily,Aurobindo Pharma
1056,Amoxicillin,600 mg,diabetes,Cetirizine,625,three times daily,Sun Pharma
1057,Amoxicillin,750 mg,cholesterol control,Glimepiride,141,once weekly,Dr. Reddy's
1058,Amoxicillin,1 g,hypertension,Olanzapine,183,once weekly,Dr. Reddy's
1059,Amoxicillin,2 g,fever,Aspirin,408,three times daily,Zydus Lifesciences
1060,Amoxicillin,125 mg/5 ml,seizure control,Clindamycin,242,once weekly,Sun Pharma
1061,Amoxicillin,250 mg/5 ml,pain relief,Pantoprazole,903,three times daily,Aurobindo Pharma
1062,Amoxicillin,500 mg/5 ml,pain relief,Aspirin,865,three times daily,Cipla
1063,Azithromycin,5 mg,diabetes,Olanzapine,956,twice daily,Glenmark
1064,Azithromycin,10 mg,pain relief,Omeprazole,792,once weekly,Torrent Pharma
1065,Azithromycin,20 mg,inflammation,Ciprofloxacin,850,once every 8 hours,Alkem Labs
1066,Azithromycin,25 mg,pain relief,Desloratadine,797,once daily,Zydus Lifesciences
1067,Azithromycin,40 mg,depression,Insulin,241,three times daily,Cipla
1068,Azithromycin,50 mg,asthma,Glimepiride,645,twice daily,Intas Pharma
1069,Azithromycin,75 mg,hypertension,Azithromycin,234,once daily,Torrent Pharma
1070,Azithromycin,100 mg,fever,Salbutamol,73,once every 8 hours,Dr. Reddy's
1071,Azithromycin,150 mg,diabetes,Ondansetron,125,once every 8 hours,Intas Pharma
1072,Azithromycin,200 mg,allergy,Loratadine,593,three times daily,Zydus Lifesciences
1073,Azithromycin,250 mg,acid reflux,Azithromycin,136,once weekly,Sun Pharma
1074,Azithromycin,300 mg,seizure control,Omeprazole,164,once every 8 hours,Torrent Pharma
1075,Azithromycin,400 mg,fever,Levocetirizine,113,three times daily,Aurobindo Pharma
1076,Azithromycin,500 mg,nausea and vomiting,Famotidine,955,twice daily,Lupin
1077,Azithromycin,600 mg,depression,Metronidazole,327,once daily,Torrent Pharma
1078,Azithromycin,750 mg,asthma,Pioglitazone,983,three times daily,Intas Pharma
1079,Azithromycin,1 g,nausea and vomiting,Doxycycline,702,once weekly,Alkem Labs
1080,Azithromycin,2 g,bacterial infection,Gliclazide,96,three times daily,Torrent Pharma
1081,Azithromycin,125 mg/5 ml,cholesterol control,Pregabalin,774,twice daily,Aurobindo Pharma
1082,Azithromycin,250 mg/5 ml,asthma,Morphine,891,three times daily,Dr. Reddy's
1083,Azithromycin,500 mg/5 ml,diabetes,Glimepiride,840,once every 8 hours,Cipla
1084,Metformin,5 mg,depression,Omeprazole,463,once every 8 hours,Torrent Pharma
1085,Metformin,10 mg,nausea and vomiting,Formoterol,804,once daily,Zydus Lifesciences
1086,Metformin,20 mg,seizure control,Desloratadine,915,once daily,Alkem Labs
1087,Metformin,25 mg,cholesterol control,Metronidazole,267,three times daily,Glenmark
1088,Metformin,40 mg,acid reflux,Cetirizine,728,twice daily,Alkem Labs
1089,Metformin,50 mg,pain relief,Losartan,406,three times daily,Lupin
1090,Metformin,75 mg,cholesterol control,Ibuprofen,109,once weekly,Zydus Lifesciences
1091,Metformin,100 mg,anxiety,Olanzapine,776,once every 8 hours,Zydus Lifesciences
1092,Metformin,150 mg,fever,Amlodipine,316,three times daily,Aurobindo Pharma
1093,Metformin,200 mg,diarrhea,Doxycycline,286,once daily,Cipla
1094,Metformin,250 mg,acid reflux,Ondansetron,668,once daily,Alkem Labs
1095,Metformin,300 mg,inflammation,Levocetirizine,105,once every 8 hours,Torrent Pharma
1096,Metformin,400 mg,bacterial infection,Tramadol,825,twice daily,Cipla
1097,Metformin,500 mg,bacterial infection,Omeprazole,440,three times daily,Alkem Labs
1098,Metformin,600 mg,seizure control,Sertraline,212,twice daily,Intas Pharma
1099,Metformin,750 mg,nausea and vomiting,Warfarin,768,once weekly,Lupin
1100,Metformin,1 g,cholesterol control,Desloratadine,534,once every 8 hours,Zydus Lifesciences
1101,Metformin,2 g,diarrhea,Gliclazide,541,once every 8 hours,Sun Pharma
1102,Metformin,125 mg/5 ml,acid reflux,Loratadine,403,once daily,Dr. Reddy's
1103,Metformin,250 mg/5 ml,asthma,Desloratadine,852,twice daily,Torrent Pharma
1104,Metformin,500 mg/5 ml,bacterial infection,Metronidazole,974,twice daily,Intas Pharma
1105,Atorvastatin,5 mg,inflammation,Metronidazole,758,once weekly,Torrent Pharma
1106,Atorvastatin,10 mg,diarrhea,Amoxicillin,410,once every 8 hours,Lupin
1107,Atorvastatin,20 mg,fever,Paracetamol,261,once daily,Alkem Labs
1108,Atorvastatin,25 mg,bacterial infection,Diclofenac,94,once every 8 hours,Alkem Labs
1109,Atorvastatin,40 mg,depression,Desloratadine,669,once weekly,Torrent Pharma
1110,Atorvastatin,50 mg,nausea and vomiting,Desloratadine,41,once weekly,Sun Pharma
1111,Atorvastatin,75 mg,acid reflux,Budesonide,460,once every 8 hours,Lupin
1112,Atorvastatin,100 mg,inflammation,Prednisone,734,once weekly,Cipla
1113,Atorvastatin,150 mg,diarrhea,Furosemide,391,once every 8 hours,Dr. Reddy's
1114,Atorvastatin,200 mg,inflammation,Valproate,670,twice daily,Zydus Lifesciences
1115,Atorvastatin,250 mg,inflammation,Furosemide,153,three times daily,Lupin
1116,Atorvastatin,300 mg,anxiety,Codeine,303,once weekly,Torrent Pharma
1117,Atorvastatin,400 mg,anxiety,Desloratadine,576,once daily,Glenmark
1118,Atorvastatin,500 mg,seizure control,Warfarin,887,three times daily,Glenmark
1119,Atorvastatin,600 mg,diabetes,Domperidone,464,once daily,Cipla
1120,Atorvastatin,750 mg,inflammation,Risperidone,703,once daily,Sun Pharma
1121,Atorvastatin,1 g,cholesterol control,Risperidone,344,three times daily,Sun Pharma
1122,Atorvastatin,2 g,pain relief,Insulin,996,three times daily,Torrent Pharma
1123,Atorvastatin,125 mg/5 ml,diabetes,Sertraline,702,once daily,Aurobindo Pharma
1124,Atorvastatin,250 mg/5 ml,nausea and vomiting,Amlodipine,253,once every 8 hours,Glenmark
1125,Atorvastatin,500 mg/5 ml,asthma,Quetiapine,365,twice daily,Lupin
1126,Amlodipine,5 mg,diabetes,Fluoxetine,848,once weekly,Intas Pharma
1127,Amlodipine,10 mg,fever,Desloratadine,89,once daily,Sun Pharma
1128,Amlodipine,20 mg,fever,Spironolactone,774,once every 8 hours,Cipla
1129,Amlodipine,25 mg,hypertension,Naproxen,602,once every 8 hours,Sun Pharma
1130,Amlodipine,40 mg,hypertension,Azithromycin,280,once weekly,Lupin
1131,Amlodipine,50 mg,inflammation,Codeine,901,three times daily,Torrent Pharma
1132,Amlodipine,75 mg,bacterial infection,Desloratadine,246,twice daily,Lupin
1133,Amlodipine,100 mg,anxiety,Morphine,817,twice daily,Aurobindo Pharma
1134,Amlodipine,150 mg,allergy,Insulin,96,once daily,Sun Pharma
1135,Amlodipine,200 mg,inflammation,Ciprofloxacin,72,twice daily,Glenmark
1136,Amlodipine,250 mg,acid reflux,Hydrochlorothiazide,156,once every 8 hours,Glenmark
1137,Amlodipine,300 mg,seizure control,Doxycycline,690,once weekly,Sun Pharma
1138,Amlodipine,400 mg,diarrhea,Gliclazide,298,once weekly,Torrent Pharma
1139,Amlodipine,500 mg,bacterial infection,Atorvastatin,774,three times daily,Sun Pharma
1140,Amlodipine,600 mg,hypertension,Doxycycline,960,twice daily,Zydus Lifesciences
1141,Amlodipine,750 mg,inflammation,Diclofenac,15,once weekly,Lupin
1142,Amlodipine,1 g,acid reflux,Tramadol,695,once weekly,Glenmark
1143,Amlodipine,2 g,cholesterol control,Sertraline,977,once every 8 hours,Dr. Reddy's
1144,Amlodipine,125 mg/5 ml,seizure control,Metronidazole,149,once daily,Dr. Reddy's
1145,Amlodipine,250 mg/5 ml,depression,Quetiapine,645,once weekly,Lupin
1146,Amlodipine,500 mg/5 ml,pain relief,Hydrochlorothiazide,418,three times daily,Torrent Pharma
1147,Losartan,5 mg,asthma,Levetiracetam,108,three times daily,Alkem Labs
1148,Losartan,10 mg,blood thinning,Valproate,786,twice daily,Aurobindo Pharma
1149,Losartan,20 mg,pain relief,Diclofenac,179,three times daily,Glenmark
1150,Losartan,25 mg,seizure control,Hydrochlorothiazide,680,three times daily,Intas Pharma
1151,Losartan,40 mg,anxiety,Azithromycin,796,twice daily,Dr. Reddy's
1152,Losartan,50 mg,inflammation,Diclofenac,819,once daily,Alkem Labs
1153,Losartan,75 mg,diabetes,Budesonide,916,three times daily,Aurobindo Pharma
1154,Losartan,100 mg,pain relief,Risperidone,43,once daily,Intas Pharma
1155,Losartan,150 mg,diarrhea,Famotidine,858,three times daily,Lupin
1156,Losartan,200 mg,diabetes,Naproxen,511,once weekly,Glenmark
1157,Losartan,250 mg,diabetes,Lamotrigine,946,once every 8 hours,Glenmark
1158,Losartan,300 mg,inflammation,Amlodipine,804,once weekly,Sun Pharma
1159,Losartan,400 mg,nausea and vomiting,Azithromycin,747,twice daily,Torrent Pharma
1160,Losartan,500 mg,pain relief,Warfarin,348,once daily,Dr. Reddy's
1161,Losartan,600 mg,fever,Montelukast,417,once weekly,Intas Pharma
1162,Losartan,750 mg,bacterial infection,Lamotrigine,249,once weekly,Zydus Lifesciences
1163,Losartan,1 g,depression,Clindamycin,783,once every 8 hours,Sun Pharma
1164,Losartan,2 g,seizure control,Furosemide,469,three times daily,Zydus Lifesciences
1165,Losartan,125 mg/5 ml,nausea and vomiting,Spironolactone,262,once daily,Lupin
1166,Losartan,250 mg/5 ml,inflammation,Pregabalin,278,twice daily,Aurobindo Pharma
1167,Losartan,500 mg/5 ml,cholesterol control,Omeprazole,697,once weekly,Glenmark
1168,Pantoprazole,5 mg,blood thinning,Pioglitazone,206,twice daily,Dr. Reddy's
1169,Pantoprazole,10 mg,depression,Ciprofloxacin,460,once every 8 hours,Lupin
1170,Pantoprazole,20 mg,anxiety,Tramadol,255,once weekly,Intas Pharma
1171,Pantoprazole,25 mg,blood thinning,Codeine,870,once every 8 hours,Aurobindo Pharma
1172,Pantoprazole,40 mg,asthma,Formoterol,58,twice daily,Cipla
1173,Pantoprazole,50 mg,depression,Atorvastatin,200,twice daily,Aurobindo Pharma
1174,Pantoprazole,75 mg,depression,Famotidine,81,once daily,Intas Pharma
1175,Pantoprazole,100 mg,depression,Famotidine,110,three times daily,Torrent Pharma
1176,Pantoprazole,150 mg,nausea and vomiting,Azithromycin,65,twice daily,Lupin
1177,Pantoprazole,200 mg,asthma,Glimepiride,251,twice daily,Cipla
1178,Pantoprazole,250 mg,acid reflux,Budesonide,274,once weekly,Glenmark
1179,Pantoprazole,300 mg,pain relief,Atorvastatin,85,twice daily,Torrent Pharma
1180,Pantoprazole,400 mg,asthma,Valproate,202,once weekly,Zydus Lifesciences
1181,Pantoprazole,500 mg,allergy,Metformin,882,once weekly,Dr. Reddy's
1182,Pantoprazole,600 mg,bacterial infection,Omeprazole,157,three times daily,Intas Pharma
1183,Pantoprazole,750 mg,anxiety,Formoterol,221,once daily,Lupin
1184,Pantoprazole,1 g,seizure control,Metronidazole,513,once weekly,Lupin
1185,Pantoprazole,2 g,fever,Losartan,876,once every 8 hours,Intas Pharma
1186,Pantoprazole,125 mg/5 ml,blood thinning,Salbutamol,876,three times daily,Sun Pharma
1187,Pantoprazole,250 mg/5 ml,cholesterol control,Azithromycin,759,once weekly,Aurobindo Pharma
1188,Pantoprazole,500 mg/5 ml,pain relief,Levocetirizine,225,once weekly,Aurobindo Pharma
1189,Omeprazole,5 mg,fever,Loratadine,117,once every 8 hours,Zydus Lifesciences
1190,Omeprazole,10 mg,nausea and vomiting,Furosemide,433,once every 8 hours,Intas Pharma
1191,Omeprazole,20 mg,asthma,Cetirizine,80,twice daily,Sun Pharma
1192,Omeprazole,25 mg,blood thinning,Codeine,431,once daily,Intas Pharma
1193,Omeprazole,40 mg,seizure control,Diclofenac,874,once every 8 hours,Sun Pharma
1194,Omeprazole,50 mg,fever,Morphine,773,three times daily,Sun Pharma
1195,Omeprazole,75 mg,diabetes,Atorvastatin,402,twice daily,Dr. Reddy's
1196,Omeprazole,100 mg,diabetes,Lamotrigine,503,once weekly,Zydus Lifesciences
1197,Omeprazole,150 mg,allergy,Pantoprazole,880,twice daily,Glenmark
1198,Omeprazole,200 mg,anxiety,Pantoprazole,136,twice daily,Alkem Labs
1199,Omeprazole,250 mg,pain relief,Doxycycline,826,once daily,Intas Pharma
1200,Omeprazole,300 mg,blood thinning,Quetiapine,129,three times daily,Zydus Lifesciences
1201,Omeprazole,400 mg,seizure control,Morphine,896,once daily,Aurobindo Pharma
1202,Omeprazole,500 mg,nausea and vomiting,Metronidazole,956,three times daily,Glenmark
1203,Omeprazole,600 mg,bacterial infection,Famotidine,522,once weekly,Glenmark
1204,Omeprazole,750 mg,hypertension,Paracetamol,592,three times daily,Aurobindo Pharma
1205,Omeprazole,1 g,asthma,Olanzapine,295,three times daily,Intas Pharma
1206,Omeprazole,2 g,anxiety,Domperidone,785,twice daily,Zydus Lifesciences
1207,Omeprazole,125 mg/5 ml,pain relief,Prednisone,233,three times daily,Aurobindo Pharma
1208,Omeprazole,250 mg/5 ml,nausea and vomiting,Amlodipine,559,once weekly,Sun Pharma
1209,Omeprazole,500 mg/5 ml,hypertension,Fluoxetine,110,twice daily,Sun Pharma
1210,Cetirizine,5 mg,allergy,Metformin,452,once daily,Sun Pharma
1211,Cetirizine,10 mg,diabetes,Paracetamol,789,once every 8 hours,Alkem Labs
1212,Cetirizine,20 mg,seizure control,Warfarin,418,three times daily,Alkem Labs
1213,Cetirizine,25 mg,cholesterol control,Salbutamol,846,once every 8 hours,Lupin
1214,Cetirizine,40 mg,allergy,Salbutamol,165,once daily,Dr. Reddy's
1215,Cetirizine,50 mg,acid reflux,Naproxen,658,once weekly,Dr. Reddy's
1216,Cetirizine,75 mg,depression,Ibuprofen,695,three times daily,Sun Pharma
1217,Cetirizine,100 mg,anxiety,Loperamide,50,once weekly,Glenmark
1218,Cetirizine,150 mg,diabetes,Losartan,365,once every 8 hours,Intas Pharma
1219,Cetirizine,200 mg,allergy,Carbamazepine,459,once every 8 hours,Dr. Reddy's
1220,Cetirizine,250 mg,acid reflux,Famotidine,403,once weekly,Lupin
1221,Cetirizine,300 mg,asthma,Amlodipine,707,twice daily,Intas Pharma
1222,Cetirizine,400 mg,diarrhea,Diclofenac,156,once weekly,Zydus Lifesciences
1223,Cetirizine,500 mg,seizure control,Glimepiride,54,twice daily,Sun Pharma
1224,Cetirizine,600 mg,pain relief,Warfarin,475,once daily,Dr. Reddy's
1225,Cetirizine,750 mg,diarrhea,Formoterol,952,once daily,Alkem Labs
1226,Cetirizine,1 g,diarrhea,Pioglitazone,769,three times daily,Aurobindo Pharma
1227,Cetirizine,2 g,allergy,Loperamide,241,once daily,Zydus Lifesciences
1228,Cetirizine,125 mg/5 ml,acid reflux,Tramadol,141,once every 8 hours,Dr. Reddy's
1229,Cetirizine,250 mg/5 ml,allergy,Naproxen,803,three times daily,Cipla
1230,Cetirizine,500 mg/5 ml,pain relief,Salbutamol,855,twice daily,Aurobindo Pharma
1231,Levocetirizine,5 mg,bacterial infection,Salbutamol,895,three times daily,Torrent Pharma
1232,Levocetirizine,10 mg,anxiety,Diclofenac,167,once weekly,Lupin
1233,Levocetirizine,20 mg,cholesterol control,Pioglitazone,662,twice daily,Intas Pharma
1234,Levocetirizine,25 mg,depression,Famotidine,671,once weekly,Sun Pharma
1235,Levocetirizine,40 mg,pain relief,Gabapentin,971,once daily,Alkem Labs
1236,Levocetirizine,50 mg,pain relief,Montelukast,513,once daily,Dr. Reddy's
1237,Levocetirizine,75 mg,diarrhea,Amlodipine,943,once daily,Cipla
1238,Levocetirizine,100 mg,blood thinning,Ondansetron,422,three times daily,Lupin
1239,Levocetirizine,150 mg,bacterial infection,Fluoxetine,14,once daily,Lupin
1240,Levocetirizine,200 mg,diabetes,Clindamycin,363,once daily,Aurobindo Pharma
1241,Levocetirizine,250 mg,diabetes,Metformin,343,three times daily,Sun Pharma
1242,Levocetirizine,300 mg,acid reflux,Budesonide,78,three times daily,Zydus Lifesciences
1243,Levocetirizine,400 mg,bacterial infection,Glimepiride,149,once every 8 hours,Glenmark
1244,Levocetirizine,500 mg,acid reflux,Carbamazepine,900,once daily,Cipla
1245,Levocetirizine,600 mg,seizure control,Gliclazide,948,once every 8 hours,Glenmark
1246,Levocetirizine,750 mg,blood thinning,Prednisone,584,twice daily,Dr. Reddy's
1247,Levocetirizine,1 g,depression,Furosemide,243,once every 8 hours,Dr. Reddy's
1248,Levocetirizine,2 g,depression,Paracetamol,707,three times daily,Aurobindo Pharma
1249,Levocetirizine,125 mg/5 ml,pain relief,Pregabalin,160,once weekly,Glenmark
1250,Levocetirizine,250 mg/5 ml,anxiety,Doxycycline,140,three times daily,Glenmark
1251,Levocetirizine,500 mg/5 ml,bacterial infection,Montelukast,707,twice daily,Lupin
1252,Montelukast,5 mg,diarrhea,Formoterol,404,once daily,Dr. Reddy's
1253,Montelukast,10 mg,bacterial infection,Prednisone,601,once weekly,Aurobindo Pharma
1254,Montelukast,20 mg,acid reflux,Formoterol,930,three times daily,Zydus Lifesciences
1255,Montelukast,25 mg,anxiety,Furosemide,796,once daily,Alkem Labs
1256,Montelukast,40 mg,nausea and vomiting,Cetirizine,328,once every 8 hours,Intas Pharma
1257,Montelukast,50 mg,asthma,Clopidogrel,887,twice daily,Zydus Lifesciences
1258,Montelukast,75 mg,asthma,Naproxen,648,once daily,Dr. Reddy's
1259,Montelukast,100 mg,inflammation,Clindamycin,950,twice daily,Lupin
1260,Montelukast,150 mg,acid reflux,Clindamycin,242,once every 8 hours,Zydus Lifesciences
1261,Montelukast,200 mg,diarrhea,Sertraline,331,once every 8 hours,Sun Pharma
1262,Montelukast,250 mg,seizure control,Pantoprazole,241,twice daily,Dr. Reddy's
1263,Montelukast,300 mg,asthma,Metformin,179,once daily,Intas Pharma
1264,Montelukast,400 mg,anxiety,Domperidone,30,once weekly,Cipla
1265,Montelukast,500 mg,asthma,Salbutamol,454,once daily,Intas Pharma
1266,Montelukast,600 mg,nausea and vomiting,Amlodipine,629,once weekly,Intas Pharma
1267,Montelukast,750 mg,bacterial infection,Amlodipine,314,once daily,Intas Pharma
1268,Montelukast,1 g,fever,Aspirin,54,once every 8 hours,Sun Pharma
1269,Montelukast,2 g,inflammation,Budesonide,846,once daily,Sun Pharma
1270,Montelukast,125 mg/5 ml,bacterial infection,Desloratadine,305,once weekly,Lupin
1271,Montelukast,250 mg/5 ml,asthma,Pioglitazone,135,once every 8 hours,Dr. Reddy's
1272,Montelukast,500 mg/5 ml,diarrhea,Loratadine,371,twice daily,Alkem Labs
1273,Prednisone,5 mg,hypertension,Levetiracetam,53,once every 8 hours,Cipla
1274,Prednisone,10 mg,allergy,Quetiapine,330,twice daily,Lupin
1275,Prednisone,20 mg,bacterial infection,Prednisone,381,once weekly,Cipla
1276,Prednisone,25 mg,depression,Pantoprazole,317,once every 8 hours,Cipla
1277,Prednisone,40 mg,bacterial infection,Lamotrigine,586,three times daily,Torrent Pharma
1278,Prednisone,50 mg,nausea and vomiting,Paracetamol,993,three times daily,Aurobindo Pharma
1279,Prednisone,75 mg,diabetes,Loperamide,411,once weekly,Lupin
1280,Prednisone,100 mg,blood thinning,Amoxicillin,675,twice daily,Aurobindo Pharma
1281,Prednisone,150 mg,hypertension,Lamotrigine,726,once daily,Dr. Reddy's
1282,Prednisone,200 mg,acid reflux,Risperidone,554,three times daily,Sun Pharma
1283,Prednisone,250 mg,nausea and vomiting,Azithromycin,472,three times daily,Alkem Labs
1284,Prednisone,300 mg,bacterial infection,Haloperidol,391,twice daily,Aurobindo Pharma
1285,Prednisone,400 mg,diabetes,Amoxicillin,308,three times daily,Lupin
1286,Prednisone,500 mg,diarrhea,Aspirin,785,three times daily,Zydus Lifesciences
1287,Prednisone,600 mg,pain relief,Azithromycin,834,once every 8 hours,Alkem Labs
1288,Prednisone,750 mg,anxiety,Losartan,110,once daily,Zydus Lifesciences
1289,Prednisone,1 g,hypertension,Naproxen,91,three times daily,Torrent Pharma
1290,Prednisone,2 g,cholesterol control,Lamotrigine,518,once weekly,Intas Pharma
1291,Prednisone,125 mg/5 ml,depression,Aspirin,911,once weekly,Zydus Lifesciences
1292,Prednisone,250 mg/5 ml,anxiety,Insulin,789,once weekly,Aurobindo Pharma
1293,Prednisone,500 mg/5 ml,inflammation,Aspirin,909,three times daily,Glenmark
1294,Sertraline,5 mg,asthma,Quetiapine,258,once weekly,Glenmark
1295,Sertraline,10 mg,blood thinning,Metformin,178,once daily,Sun Pharma
1296,Sertraline,20 mg,nausea and vomiting,Domperidone,861,once every 8 hours,Dr. Reddy's
1297,Sertraline,25 mg,asthma,Ciprofloxacin,36,once daily,Alkem Labs
1298,Sertraline,40 mg,diabetes,Gliclazide,975,once daily,Aurobindo Pharma
1299,Sertraline,50 mg,bacterial infection,Levocetirizine,228,once daily,Zydus Lifesciences
1300,Sertraline,75 mg,inflammation,Ibuprofen,415,once daily,Intas Pharma
1301,Sertraline,100 mg,asthma,Ciprofloxacin,983,once every 8 hours,Zydus Lifesciences
1302,Sertraline,150 mg,pain relief,Gabapentin,41,three times daily,Zydus Lifesciences
1303,Sertraline,200 mg,diarrhea,Salbutamol,858,once daily,Glenmark
1304,Sertraline,250 mg,hypertension,Glimepiride,874,once daily,Zydus Lifesciences
1305,Sertraline,300 mg,cholesterol control,Metformin,568,three times daily,Intas Pharma
1306,Sertraline,400 mg,bacterial infection,Haloperidol,792,three times daily,Zydus Lifesciences
1307,Sertraline,500 mg,acid reflux,Doxycycline,195,once every 8 hours,Sun Pharma
1308,Sertraline,600 mg,diarrhea,Famotidine,880,once daily,Lupin
1309,Sertraline,750 mg,nausea and vomiting,Sertraline,240,once weekly,Zydus Lifesciences
1310,Sertraline,1 g,hypertension,Prednisone,743,once daily,Sun Pharma
1311,Sertraline,2 g,allergy,Famotidine,716,twice daily,Cipla
1312,Sertraline,125 mg/5 ml,acid reflux,Salbutamol,729,once weekly,Cipla
1313,Sertraline,250 mg/5 ml,seizure control,Olanzapine,500,three times daily,Zydus Lifesciences
1314,Sertraline,500 mg/5 ml,seizure control,Glimepiride,906,twice daily,Glenmark
1315,Fluoxetine,5 mg,fever,Diclofenac,152,once every 8 hours,Intas Pharma
1316,Fluoxetine,10 mg,nausea and vomiting,Domperidone,787,once every 8 hours,Cipla
1317,Fluoxetine,20 mg,allergy,Tramadol,154,twice daily,Intas Pharma
1318,Fluoxetine,25 mg,blood thinning,Loperamide,22,three times daily,Intas Pharma
1319,Fluoxetine,40 mg,diabetes,Losartan,386,once weekly,Cipla
1320,Fluoxetine,50 mg,seizure control,Sertraline,282,three times daily,Glenmark
1321,Fluoxetine,75 mg,hypertension,Gabapentin,387,three times daily,Glenmark
